pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
6.80213,1.82,,,0.379,,Transit
11.52898,3.93,,,0.533,,Transit
3.44791,1.46,,,0.637,,Transit
14.4307,2.28,,,0.986,,Transit
1.096473,78.0,,,1.913,,Transit
13.7043,1.3,,,1.014,,Transit
,15.2,,,0.797,,Transit
31.4782,2.6,,,0.7556,,Transit
6.02226,2.02,,,0.9738,,Transit
11.81387,2.67,,,0.948,,Transit
11.811437,2.3,,5765.0,0.93,,Transit
20.5827,2.98,,,1.099,,Transit
19.1324,2.73,,,1.347,,Transit
,24.0,,,0.951,,Transit
3.4914,1.18,,,0.572,,Transit
14.78545,2.62,,,0.623,,Transit
13.8883,1.46,,,0.592,,Transit
27.7985,2.47,,,1.484,,Transit
0.546127,11.3,,,1.447,,Transit
2.49686,90.0,,,11.0,,Transit
5.84643,10.4,,,0.698,,Transit
6.7826,1.88,,,0.705,,Transit
3.12951,18.6,,,1.99,,Transit
6.79867,4.4,,,1.601,,Transit
1.489154,1.9,,,2.4,,Transit
8.7783,2.27,,,0.69,,Transit
8.777247,2.181,,4603.0,0.751,0.856,Transit
14.1297,1.4,,,0.69,,Transit
9.401312,2.729,,5911.0,1.32,0.993,Transit
9.40172,1.96,,,1.13,,Transit
1.876899,13.2,,,0.774,,Transit
1.236438,50.0,,,3.2,,Transit
7.46475831483,11.93024915,,5357.0,1.15577,,Transit
7.457597,8.7,,,1.037,,Transit
43.1029,12.2,,,1.923,,Transit
0.2633809,370.0,,,37.7,,Transit
0.738067,260.0,,,25.0,,Transit
1.726115,5.6,,,0.839,,Transit
1.2539936,31.7,,,0.948,,Transit
0.9085915,23.1,,,0.95,,Transit
2.74324,28.0,,,4.88,,Transit
0.533393,19.5,,,14.8,,Transit
5.33988,1.27,,,0.611,,Transit
6.689131,29.9,,,1.011,,Transit
,13.66,,,0.738,,Transit
3.6322288,32.2,,,2.67,,Transit
10.14588,19.43,,,1.198,,Transit
,57.0,,,1.532,,Transit
3.0203,5.6,,,1.265,,Transit
3.38492,1.48,,,0.528,,Transit
3.90723655504,15.34164425,,5500.0,1.17027,,Transit
3.90518,16.3,,,1.282,,Transit
11.86386,2.21,,,0.848,,Transit
8.6929,1.81,,,1.079,,Transit
32.3204,3.3,,,0.245,,Transit
8.60133,5.31,,,1.016,,Transit
29.8411,5.23,,,1.016,,Transit
4.833191,25.31,,,1.8456,,Transit
0.4951253,28.8,,,1.87,,Transit
1.589843,49.0,,,3.93,,Transit
1.549318,42.6,,,1.67,,Transit
1.9363475,46.0,,,1.687,,Transit
2.17469,1.8,,,1.083,,Transit
1.658223,0.867,,,0.917,,Transit
0.56007,1.67,,,0.441,,Transit
4.88451,16.1,,,0.73,,Transit
4.35967,2.31,,,0.559,,Transit
1.81053,1.024,,,0.543,,Transit
0.944284,1.48,,,0.684,,Transit
26.4837,1.98,,,1.378,,Transit
2.08807,12.4,,,4.44,,Transit
34.3797,118.0,,,4.0,,Transit
15.6594,37.0,,,4.0,,Transit
1.4095126,70.0,,,1.82,,Transit
3.22513,2.33,,,0.437,,Transit
8.03216,2.42,,,1.85,,Transit
0.7988453,6.2,,,0.728,,Transit
0.7988525,4.00703,,4785.0,0.86,,Transit
0.4378443,41.0,,,1.3,,Transit
13.26931,23.8,,,1.127,,Transit
13.6274,,,3860.0,0.257,,Transit
13.62749,2.222,,3623.0,0.348,0.33,Transit
13.62757,1.78,,,0.257,,Transit
6.679582,1.392,,3623.0,0.348,0.33,Transit
6.6791,1.1,,,0.257,,Transit
4.19525,1.05,,,0.257,,Transit
4.194766,1.191,,3623.0,0.348,0.33,Transit
9.71601,1.14,,,0.257,,Transit
9.715043,1.345,,3623.0,0.348,0.33,Transit
2.5048178,3.9467,,5328.0,0.92,,Transit
2.504853,3.95,,,0.905,,Transit
16.9616,2.7,,,1.277,,Transit
0.7175747,28.1,,,0.818,,Transit
5.1645,0.784,,,0.255,,Transit
3.44795,0.97,,,0.332,,Transit
,36.0,,,1.208,,Transit
0.5551606,11.4,,,1.657,,Transit
6.26242,2.03,,,0.762,,Transit
24.4131,15.3,,,0.64,,Transit
4.02748,1.24,,,0.5901,,Transit
10.55369,2.72,,,0.88,,Transit
9.64954,2.74,,,0.593,,Transit
6.5534,1.11,,,0.766,,Transit
0.6719977,25.2,,,1.79,,Transit
3.31347,3.8,,,0.824,,Transit
4.69942,2.5,,,0.605,,Transit
12.7256,2.16,,,1.001,,Transit
45.4939,7.17,,,1.626,,Transit
10.7946,2.34,,,0.618,,Transit
10.7946,,,5045.0,0.62,,Transit
4.06643,1.22,,,0.618,,Transit
57.8396,9.8,,,0.729,,Transit
4.49161,2.01,,,0.823,,Transit
3.78177,1.81,,,1.095,,Transit
9.073266,23.32,,,1.763,,Transit
13.6094,2.44,,,0.564,,Transit
2.43807,2.15,,,0.625,,Transit
6.80111,1.96,,,0.291,,Transit
2.38098,1.72,,,0.734,,Transit
2.380867,1.539,,4844.0,0.761,0.927,Transit
17.1057,5.91,,,0.592,,Transit
7.30383,2.18,,,0.715,,Transit
57.8415,6.13,,,1.495,,Transit
9.4538,1.91,,,0.932,,Transit
7.473223,2.32,,5749.0,0.97,0.911,Transit
7.47372,,,5592.0,1.01,,Transit
7.47331,2.74,,,1.012,,Transit
7.51114,2.98,,,0.643,,Transit
10.4347,1.69,,,0.816,,Transit
6.53074,,,3628.0,0.69,,Transit
6.53046,3.36,,,0.692,,Transit
,6.71,,,1.256,,Transit
14.753,3.0,,,0.5666,,Transit
