pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
28.454851,6.14,19.4,6197.21,1.64162,1.19,Transit
321.2120056,8.93504475,59.1,6018.0,1.286,1.09,Transit
34.21154,1.18,1.76,4955.0,0.72,0.743,Transit
4.48758907,1.25,2.1,6079.0,1.15,1.05,Transit
2.61586178,11.130537,179.89178,5340.0,0.99,0.971,Transit
23.851549,3.07,9.64,6033.0,1.021,0.943,Transit
2.886762645,1.34,2.36,3655.0,0.54,0.56,Transit
2.164570968,1.43,2.63,4070.0,0.6,0.62,Transit
211.0339966,3.14950109,10.1,4658.0,0.686,0.743,Transit
11.5789,2.05,19.8,6165.0,1.355,1.204,Transit
2.795906,1.71,5.95575,5243.0,0.821,0.854,Transit
6.87745,2.13,5.18,4258.0,0.555,0.541571,Transit
,1.85,4.08,,,0.25,Microlensing
749.83,8.4,53.83,4120.0,0.68,0.65,Radial Velocity
13.969457,1.73,3.64,3799.0,0.492,0.591913,Transit
13.2217576,2.71,7.8,5210.0,0.8,0.85,Transit
8.041,1.6,2.8,4660.0,0.54,0.56,Transit
5.188549,1.26,1.09,4605.0,0.667,0.77,Transit
5.720920086,2.62843782,7.41,3640.0,0.503,0.513,Transit
129.9441,1.17,1.71,3755.0,0.523,0.544,Transit
,14.1,206.58846455,,,0.9,Microlensing
11.20066445,1.68,3.46,5964.0,1.1,1.07,Transit
3.932461302,1.59,3.15,4700.0,0.7,0.73,Transit
1.8498567,1.7193265,3.6,5834.0,1.01733,1.049133,Transit
14.751166,1.72,3.61,5654.0,0.884,0.86,Transit
41.749882,3.1,9.8,5513.0,0.935,0.971,Transit
50.790391,12.341,584.78,6150.0,1.606,1.129,Transit
2.971353,1.43,78.0,5297.0,0.929,0.91,Transit
3.715335,1.47,2.76,5299.0,0.826,0.865,Transit
12.4127754,1.49,2.83,6129.0,1.36,1.17,Transit
4.007232,19.08889413,184.34047606,6457.0,1.735,1.298,Transit
32.761,2.3,5.89,3641.0,0.529,0.528,Radial Velocity
,9.12,61.27,,,0.42,Microlensing
3.173917103,3.15,10.1,6747.0,1.81,1.49,Transit
1.3484978,15.636555,718.2958,6125.0,1.12,1.07,Transit
10037.5,12.4,3337.1,580.5,,0.021,Imaging
7.31946363,2.13,5.18,6541.0,1.63,1.38,Transit
30.826557,3.12,9.91,5560.0,0.939,0.956,Transit
12.130686,1.66,3.39,6402.0,1.132,0.87,Transit
122.3874,1.61,36.0,4925.0,0.64,0.69,Transit
3.38555488,1.52,2.92,6297.0,1.39,1.23,Transit
10.423648,4.32,15.6,6182.0,1.52,1.277,Transit
7.05246,2.67,6.93,4540.0,0.678,0.73,Transit
16.71990013,2.8125177,8.31,6020.0,1.085,1.049,Transit
4.159807,0.81,0.457,4632.0,0.666,0.729,Transit
2142.0,12.7,2034.1018048,4879.0,10.37,2.16,Radial Velocity
11.55102504,2.67,7.61,5935.0,1.06,1.05,Transit
17071.78045,12.8,1630.77755632,5387.0,0.909,0.93,Radial Velocity
3.8559,15.80469,851.7844,6250.0,1.55,1.82,Transit
8.45808312,2.36,6.17,6327.0,1.43,1.26,Transit
5.21104261,1.07,1.24,6112.0,1.09,1.1,Transit
603.95116,5.92,29.4,3500.0,0.409738,0.4,Radial Velocity
72.379334,3.88,14.3,5502.0,2.019,1.165,Transit
67.844469,3.07,9.64,5877.0,1.854,1.367,Transit
198.4,13.3,794.5,4806.0,6.85,1.15,Radial Velocity
2.668313762,1.52,2.92,5502.0,0.87,0.9,Transit
5.1830043,3.63045,12.8,6156.0,1.34,1.168817,Transit
18.998355,2.78,26.2118,5897.0,1.289,1.046,Transit
54.414,3.1,37.5,6689.45,1.07,1.1,Transit
148.2720032,5.93747806,654.0,5717.0,0.884,0.984,Transit
42.994,3.5,75.5,5656.0,1.06,0.85,Transit
8.67900242,1.82,3.97,5771.0,0.98,0.99,Transit
9.691,11.43316031,114.41822652,4700.0,4.1,1.07,Transit
42.882,4.32,79.4,6022.0,1.85,1.32,Transit
8.726,2.23,40.0,6039.0,1.43,1.0,Transit
3.52474859,15.58051,232.0159,6091.0,1.19,1.23,Radial Velocity
7.9752,1.014,4.3,4500.0,0.677,0.742,Transit
10.065275,1.73,35.4,3767.0,0.49,0.58,Transit
46.827915,2.41,6.39,4486.0,0.571,0.593,Transit
26.136,2.8,14.9,6492.3,1.25,1.0,Transit
12.51,1.978,2.15,5505.2,0.875,0.928,Transit
239.5044,12.9,1586.59940774,6305.24,1.491,1.1366,Eclipse Timing Variations
1.311555568,1.27,2.15,5677.0,0.97,0.98,Transit
15.74957994,2.73,7.9,5770.0,0.96,0.98,Transit
17.70632,2.2,5.48,3315.0,0.28,0.27,Transit
4343.5,13.0,1334.886,3904.0,0.193119,0.44,Eclipse Timing Variations
6.04045,1.29,18.3,5123.0,0.816,0.867,Transit
19.446355,3.03,9.43,5816.0,0.958,1.053,Transit
2.88879862,0.85,0.543,5732.0,1.29,1.15,Transit
0.490047,1.28,3.07,4850.0,0.731,0.78,Transit
345.43,14.2,174.48779544,5466.0,0.89,0.82,Radial Velocity
2.985628,14.1,127.76701961,5442.0,0.94,1.0,Radial Velocity
29.6091744,1.16,1.65,5838.0,1.07,1.02,Transit
5.09071,2.22,5.57,4385.0,0.674,0.684,Radial Velocity
931.0,12.8,1630.4,6255.0,1.67,1.29,Radial Velocity
163.692349,2.7,7.75,5201.0,0.8,0.84,Transit
76.42230225,3.84829873,14.1,5561.0,1.19,0.946,Transit
8.5399,2.91,8.8,4135.0,0.619,0.629,Radial Velocity
40.8365012,1.6,3.19,5578.0,0.92,0.94,Transit
4.5661061,10.72699453,81.99972901,5723.0,1.209,1.105,Transit
25.563222,3.53,12.2,6248.0,1.086,0.827,Transit
8.9187,1.9,3.85,5905.0,1.257,1.041,Transit
4.7,1.71,3.5,5536.0,0.946,0.89,Transit Timing Variations
